Title,Description,Date,Source
Hedge fonlar risk azaltıyor,Goldman Sachs ve Morgan Stanley’in verilerine göre hedge fonların risk iştahında kayda değer bir düşüş yaşanıyor.,2022-10-26,BloombergHT
"Starlink, hareket halindeki araçlara uydu hizmeti başlatıyor","Amerikan uydu şirketi SpaceX tarafından internete erişimi sağlamak üzere inşa edilen uydu hizmeti Starlink, Aralık'ta hareket halindeki araçlarda kullanım için siparişe açıldı. Ancak bu hizmet, standart Starlink hizmetinden pahalı olacak. SpaceX'in 599 dolarlık uydu çanağını kullanırken, onu hareket halinde kullanmak, 2.500 dolara mal olacak. Hizmetten ilk etapta Kuzey Kanada ve Orta Batı ABD’dekiler yararlanacak.",2022-10-26,BloombergHT
Çin ekonomisinde yavaşlama sinyalleri,Bloomberg’in Çin ekonomisinde sekiz öncü göstergeyi dikkate alan endeksi üç aylık bir iyileşmenin ardından Ekim ayında ivme kaybına işaret etti.,2022-10-26,BloombergHT
ABD Senatosu'ndan Fed Başkanı Powell'a uyarı mektubu,"ABD'de Senato Bankacılık Komitesi Başkanı Sherrod Brown, Fed Başkanı Jerome Powell'a mektup gönderdi ve para politikasını sıkılaştırırken dikkatli olunması yönünde uyardı. Brown, Fed'in enflasyon kadar tam istihdamı sağlamaktan da sorumlu olduğunu hatırlattı.",2022-10-26,BloombergHT
Serbest piyasada döviz açılış fiyatları (26.10.2022),"İstanbul serbest piyasada dolar 18,6080 liradan, euro 18,5370 liradan güne başladı.",2022-10-26,BloombergHT
Başkentgaz'dan AKCEZ alımı sonrası refinansman hamlesi,"Başkentgaz, AKCEZ Enerji Yatırımları San. ve Tic. A.Ş. ve Sakarya Elektrik Dağıtım A.Ş.'nin borçlarının refinansmanı için iki bankayı yetkilendirdi.",2022-10-26,BloombergHT
İngiltere'de yaz-boz tahtasına dönen mali planda erteleme işareti,"İngiliz varlıkları üzerinde bir süredir etkili olan mali planda yine erteleme sinyalleri geldi. Piyasalar sterlini sallayan bir önceki planı rafa kaldıran Maliye Bakanı Jeremy Hunt'ın 31 Ekim'de yapacağı açıklamalara odaklanırken, Başbakanlık Ofisi'nin bu tarihi teyit etmediği belirtildi.",2022-10-26,BloombergHT
Çin'de rekor bütçe açığı,"Gevşek para politikası uygulayan ve ekonomik aktivitedeki ivme kaybıyla dikkat çeken Çin'de bütçe açığı da rekor seviyelere yükseldi. Yılın 9 ayında bütçe açığı 7,16 trilyon yuan (980 milyar dolar) seviyesine yükseldi.",2022-10-26,BloombergHT
Avustralya'da enflasyon 32 yılın zirvesine çıktı,"Avustralya'da enflasyon 1990'dan bu yana en yüksek seviyeye çıkarken, faiz artırımlarının yeniden hız kazanacağı yönündeki fiyatlamalar da arttı.",2022-10-26,BloombergHT
Petrolde stok artışı fiyatları aşağı çekti,ABD petrol stoklarında görülen artış ABD ham petrolünde fiyatı aşağı çekti.,2022-10-26,BloombergHT
"Musk, Twitter'da son imza için tarih verdi",Tesla'nın patronu Elon Musk'ın Twitter anlaşmasını Cuma günü tamamlamayı planladığı belirtildi. Musk açıklamayı satın alma için finansman sunan bankacılarla yaptığı toplantıda yaptı.,2022-10-26,BloombergHT
ABD’de doğalgaz fiyatlarında dikkat çeken fiyatlama,"ABD'de doğalgaz fiyatları, artan üretimin boru hattı şebekelerini bunaltması ve ılıman havanın tüketimi frenlemesi nedeniyle 2020'den bu yana ilk kez sıfırın altına düştü.",2022-10-26,BloombergHT
Asya borsaları yükselişte,"Asya-Pasifik'teki hisseler, Fed'in potansiyel olarak daha az agresif hale gelmesiyle Çarşamba günü yükseldi.",2022-10-26,BloombergHT
Microsoft ve Alphabet'in net karlarında düşüş,ABD'li teknoloji şirketlerinden Microsoft ve Google'ın ana kuruluşu Alphabet'in net karları temmuz-eylül döneminde azalış kaydetti.,2022-10-26,BloombergHT
Ekonomi ve siyaset gündemi - 26 Ekim 2022,Ekonomi ve siyaset gündeminde öne çıkanlar...,2022-10-26,BloombergHT
Resmi Gazete'de bugün (26.10.2022),"Resmi Gazete'de yayımlanan yönetmelik, genelge ve tebliğler...",2022-10-26,BloombergHT
"Tütün ve alkol piyasasına ilişkin teklif, TBMM Adalet Komisyonu’nda kabul edildi","AK Parti milletvekillerinin imzasını taşıyan Tütün, Tütün Mamulleri ve Alkol Piyasasının Düzenlenmesine Dair Kanun ile Bazı Kanunlarda Değişiklik Yapılmasına Dair Kanun Teklifi, TBMM Adalet Komisyonunda kabul edildi.",2022-10-25,BloombergHT
"Bakan Nebati, Suudi mevkidaşı Al-Jadaan ile görüştü","Hazine ve Maliye Bakanı Nureddin Nebati, Suudi Arabistan Maliye Bakanı Mohammed Al-Jadaan ile yaptıkları görüşmeye ilişkin, ""Bölgemizin istikrarı açısından önemli olan ikili ilişkilerimiz başta olmak üzere G-20 gündemi ile ekonomik ve finansal iş birliğimizi güçlendirecek adımları ele aldığımız verimli bir görüşme gerçekleştirdik."" ifadesini kullandı.",2022-10-25,BloombergHT
Aselsan/Görgün: KOBİ’lerle birlikte büyümeye gayret ediyoruz,"Aselsan Yönetim Kurulu Başkanı ve Genel Müdürü Prof. Dr. Haluk Görgün, ürettikleri teknolojiler hakkında yaptığı açıklamada, tedariklerini özellikle yurt içinden yapmaya çalıştıklarını ve KOBİ’lerle birlikte büyümeye gayret gösterdiklerini belirtti.  ",2022-10-25,BloombergHT
"Cumhurbaşkanı Erdoğan, İngiltere Kralı III. Charles ile görüştü","Cumhurbaşkanı Recep Tayyip Erdoğan, İngiltere Kralı III. Charles ile telefonda yaptığı görüşmede, Türkiye-Birleşik Krallık ilişkilerinin ele alındığı belirtildi.",2022-10-25,BloombergHT
Meloni'nin programında öncelik enerji mağduru aile ve KOBİ'ler,"İtalya Başbakanı Giorgia Meloni, ekonomik durumun büyük savaştan bu yana en zor döneminden geçtiğini, önceliklerini, yüksek enerji maliyetleriyle karşı karşıya kalan aile ve işletmeleri destekleyecek önlemlerin güçlendirilmesine vereceklerini açıkladı.",2022-10-25,BloombergHT
ABD'de tüketici güveni 3 ayın dibinde,ABD'de Ekim ayı için tüketici güveni resesyon endişeleri ve yaygın enflasyonun tüketiciler üzerinde baskı yaratmasıyla beklentilerin üzerinde düşerek üç ayın en düşük seviyesine geriledi.,2022-10-25,BloombergHT
Küresel ham çelik üretimi Eylül'de arttı,"Küresel ham çelik üretimi, Eylül'de Çin'deki üretimin yüzde 17'den fazla artmasıyla geçen yılın aynı dönemine göre yüzde 3,7 yükselerek 151,7 milyon tona ulaştı. Dünya Çelik Birliği verilerine göre, Türkiye'nin ham çelik üretimi ise Eylül'de geçen yılın aynı dönemine göre yüzde 19,4 gerileyerek 2,7 milyon tona indi.",2022-10-25,BloombergHT
"Bakan Nebati, banka genel müdürlerinin taleplerini dinledi",Hazine ve Maliye Bakanı Nureddin Nebati'nin bankaların genel müdürleri ile dün yaptığı toplantıda gelecek projeksiyonu dahilinde sektöre yönelik öneri ve taleplerin görüşüldüğü bildirildi.,2022-10-25,BloombergHT
ABD’de konut fiyat artış hızında rekor yavaşlama,ABD’de borçlanma maliyetlerindeki sert yükselişin etkisiyle konut fiyatlarında artış hızı rekor biçimde yavaşladı.,2022-10-25,BloombergHT
"""Bazı mağazaların elektrik maliyeti ikinci kiraya dönüştü""","BMD Başkanı Sinan Öncel ""Elektrik maliyetleri bazı AVM'lerdeki mağazalar için ikinci bir kira giderine dönüştü. Mağazalarında enerji fiyatının ortak sayaç üzerinden faturalandırılması yerine bireysel abonelik koşullarında ve ulusal tarifeye dönüştürülerek fiyatlandırılmasını öneriyoruz"" dedi.",2022-10-25,BloombergHT
Dünya Bankası'ndan Lübnan'a kredi sözü,"Dünya Bankası Orta Doğu ve Kuzey Afrika'dan Sorumlu Başkan Yardımcısı Ferid Belhac, ekonomik kriz nedeniyle zor bir dönemden geçen Lübnan'a 500 milyon dolara kadar kredi sağlayabileceklerini söyledi.",2022-10-25,BloombergHT
Erdoğan: 2028'e kadar 500 bin konut teslim edilecek,"Cumhurbaşkanı Erdoğan Ankara'da düzenlenen törende, ""Başlattığımız son kampanya ile TOKİ aracılığıyla milletimize sunduğumuz konut sayısını 2 milyona yükseltiyoruz"" dedi.",2022-10-25,BloombergHT
Sunak resmi olarak İngiltere'nin yeni başbakanı oldu,"İngiltere'nin yeni Başbakanı Rishi Sunak, önceki dönemden kalan karışıklığı düzeltmeye çalışacağını söyledi.",2022-10-25,BloombergHT
Spot piyasada elektrik fiyatları (25.10.2022),"Spot piyasada bir megavatsaat elektriğin fiyatı yarın için en yüksek 4 bin 800 lira, en düşük 2 bin 799 lira 99 kuruş olarak belirlendi.",2022-10-25,BloombergHT
Rekabet Kurulu'ndan Panek'e soruşturma,"Rekabet Kurulu, Panek Ziraat Aletleri Dayanıklı Tüketim Malzemeleri Otomotiv Yakıt Petrol Ürünleri Tarım Ticaret AŞ hakkında soruşturma açılmasını kararlaştırdı.",2022-10-25,BloombergHT
"Pakistan, Suudi Arabistan ile kredi vadesi uzatılmasını görüşecek",Pakistan Başbakanı Şahbaz Şerif'in Suudi Arabistan ile aralıkta dolacak 3 milyar dolarlık kredinin vadesinin uzatılmasını görüşeceği bildirildi.,2022-10-25,BloombergHT
İngiltere’de temel gıda fiyatlarında hızlı artış,"İngiltere’de Eylül ayı itibariyle son bir yıllık dönemde ayçiçeği yağı fiyatının yüzde 65, makarna fiyatının yüzde 60, çay fiyatının ise yüzde 46 artış kaydettiği bildirildi.",2022-10-25,BloombergHT
TÜRKBESD/Dinçer: Çin ihracatta çok daha agresif olacaktır,"TÜRKBESD Başkanı Can Dinçer ""Çin ile ihracatta savaş halindeyiz, ihracatta çok daha agresif olacaklardır. Daralan iç piyasayı canlandırmak için çok daha fazla kaynak aktaracaklardır"" dedi.",2022-10-25,BloombergHT
Almanya’da iş dünyası güveni ‘zorlu kış’ öncesi iyileşti,Avrupa’nın en büyük ekonomisi Almanya’da iş dünyası güveni Ekim’de iyileşti. Ancak bu iyileşmeye rağmen şirketlerin gelecek aylara ilişkin endişelerinin devam ettiği görüldü.,2022-10-25,BloombergHT
Turizm istatistiklerinde yöntem değişikliği ve revizyon,"Türkiye İstatistik Kurumu (TÜİK), turizm istatistiklerinde yöntem değişikliği ve revizyon yapıldığını duyurdu. Revize edilmiş veriler 27 Ekim'de açıklanacak.",2022-10-25,BloombergHT
2023 Cumhurbaşkanlığı yatırım programı Resmi Gazete'de,2023 yılı Cumhurbaşkanlığı yıllık programı onaylanarak Resmi Gazete'de yayımlandı.,2022-10-25,BloombergHT
WhatsApp'a erişim sorunu,Anlık iletişim platformu WhatsApp'a geçici erişim sorunu yaşandı. Meta'dan sorunun çözüldüğüne dair açıklama geldi.,2022-10-25,BloombergHT
Uluslararası Enerji Ajansı Başkanı'ndan stok açıklaması,"Uluslararası Enerji Ajansı (UEA) Başkanı Fatih Birol, üyelerinin gerektiğinde yeniden acil durum rezervlerini kullanıma açmak için gerekli petrol rezervlerine sahip olduğunu söyledi.",2022-10-25,BloombergHT
'Negatif getirili tahvil' parantezi kapanıyor,Negatif faiz seviyesini koruyan son ülke olan Japonya'da iki yıllık tahvil getirilerinin sıfıra yaklaşmasıyla küresel olarak bir süredir devam eden negatif faiz döneminin sona yaklaşıldığı görülüyor.,2022-10-25,BloombergHT
Beyaz eşya satışlarında sınırlı düşüş,"TÜRKBESD verilerine göre beyaz eşya satışları Eylül'de yıllık yüzde 0,4'lük sınırlı düşüş kaydetti. Yılın ilk 9 ayında 6 ana üründe beyaz eşya satışları da yüzde 5 düştü.",2022-10-25,BloombergHT
Altında Fed bekleyişi,"Altın, yatırımcıların Kasım başında yapılacak Fed toplantısını bekleyişe geçmesiyle yatay seyretti.",2022-10-25,BloombergHT
KDV iadelerinde kolaylık sağlandı,"Resmi Gazete'de yayımlanan tebliği ile temel gıda maddelerinde daha önce yılı içinde mahsuben, ertesi yıl nakden veya mahsuben alınabilen katma değer vergisi (KDV) iadesinin, ilgili yılında da 6 aylık dönem itibarıyla nakden alınabilmesi mümkün hale geldi.",2022-10-25,BloombergHT
Serbest piyasada döviz açılış fiyatları (25.10.2022),"İstanbul serbest piyasada dolar 18,6080 liradan, euro 18,3680 liradan güne başladı.",2022-10-25,BloombergHT
Didem Ciner’den Harvard’da konuşma,"WE Soda Yönetim Kurulu Başkanı Didem Ciner, Harvard Üniversitesi’ne bağlı Harvard Kennedy Okulu Siyaset Enstitüsü’ndeki konuşmasında yeni medya konusunda değerlendirmelerde bulundu",2022-10-25,BloombergHT
Bakan Nebati: Türkiye'nin Rusya ile ilişkileri yasal,"Hazine ve Maliye Bakanı Nureddin Nebati, İngiliz Financial Times gazetesine verdiği söyleşide Türkiye'nin Rusya ile ekonomik ilişkilerinin yasal olduğunu belirtti.",2022-10-25,BloombergHT
Çin menşeli yassı çelik ithalatına soruşturma,Çin menşeli sıcak haddelenmiş yassı çelik ithalatına nihai gözden geçirme soruşturması açılmasına karar verildi,2022-10-25,BloombergHT
Petrolde denge arayışı,Petrol piyasalarında ekonomik aktivitedeki yavaşlama endişeleriyle arz sıkışıklığının fiyatlamalarda denge yarattığı izleniyor.,2022-10-25,BloombergHT
Japonya Maliye Bakanı: Para politikası ile hükümetin kurlara müdahalesi arasında çelişki yok,"Japonya Maliye Bakanı Shunichi Suzuki, Maliye Bakanlığı'nın Japon yenini desteklemek için alım yapması ile BOJ'un ultra gevşek para politikasını devam ettirmek için para basması arasında bir politika çelişkisi bulunmadığını savundu. ",2022-10-25,BloombergHT
Asya borsaları yükseliyor,Asya hisse senetleri Salı günü Hong Kong hariç yükseldi.,2022-10-25,BloombergHT
Ekonomi ve siyaset gündemi - 25 Ekim 2022,Ekonomi ve siyaset gündeminde öne çıkanlar...,2022-10-25,BloombergHT
Didem Ciner’den Harvard’da konuşma,"WE Soda Yönetim Kurulu Başkanı Didem Ciner, Harvard Üniversitesi’ne bağlı Harvard Kennedy Okulu Siyaset Enstitüsü’ndeki konuşmasında yeni medya konusunda değerlendirmelerde bulundu",2022-10-25,BloombergHT
Vergi düzenlemelerini de içeren torba teklif TBMM'de komisyondan geçti,"AK Parti milletvekillerinin imzasını taşıyan Vergi Usul Kanunu ile Bazı Kanunlarda Değişiklik Yapılmasına Dair Kanun Teklifi, Meclis Plan ve Bütçe Komisyonunda kabul edildi.",2022-10-25,BloombergHT
Resmi Gazete'de bugün (25.10.2022),"Resmi Gazete'de yayımlanan yönetmelik, genelge ve tebliğler...",2022-10-25,BloombergHT
Limanların özelleştirilmesine yönelik madde kanun teklifinden çıkarıldı,"Cemevlerine ilişkin düzenlemeleri de içeren kanun teklifinde yer alan limanların özelleştirilmesine yönelik madde, AK Parti milletvekillerinin verdiği önergenin kabul edilmesiyle yasa teklifinden çıkarıldı.",2022-10-24,BloombergHT
Apple Music ve TV+ ücretleri ilk kez arttı,"Apple, ABD’de artan lisans maliyetlerini gerekçe göstererek “Apple Music ve Apple TV+” hizmetlerinin fiyatlarını ilk kez artırdı.",2022-10-24,BloombergHT
"Yellen, ABD'deki finansal riskler hakkında uyardı","ABD Hazine Bakanı Janet Yellen, küresel gelişmelerin piyasa oynaklığını artırmasından dolayı finans sektörünü yakından takip ettiklerini belirterek, ülkede finansal risklerin gerçekleşebileceği bir ortam bulunduğu için dikkatli olduklarını ifade etti.",2022-10-24,BloombergHT
"Bakan Nebati, Riyad'daki 6. Gelecek Yatırım Girişimi Konferansı'na katılacak","Hazine ve Maliye Bakanı Nureddin Nebati, 25-27 Ekim'de Suudi Arabistan'ın başkenti Riyad'da düzenlenecek 6. Gelecek Yatırım Girişimi Konferansı'na katılacak.",2022-10-24,BloombergHT
"""Yeni kredi paketiyle esnaf borcundan kurtulma şansı elde edecek""","TESK Başkanı Bendevi Palandöken, esnaf finansmanına yönelik paketin yürürlüğe girmesi ile ilgili olarak, ""Bu krediyle esnaf borcundan kurtulma şansı elde edecek"" yorumunda bulundu.",2022-10-24,BloombergHT
ABD'de iş dünyası aktivitesi 4. ayda da daraldı,ABD’de iş dünyası aktivitesi Ekim'de enflasyon endişeleri ve azalan talePle dördüncü ayda da daralmaya devam etti.,2022-10-24,BloombergHT
Kasko prim üretimi sekiz ayda yüzde 174 arttı,"Türkiye Sigorta Birliği verilerine göre yılın ilk sekiz ayında motorlu kara taşıtlarında kasko prim üretiminde yüzde 174’lük artışla 22 milyar 699 milyon lira olarak gerçekleşti. Geçen yıl aynı dönem için prim üretimi 8 milyar 292 milyon lira seviyesindeydi. Anadolu Sigorta Genel Müdürü Mehmet Şencan, ""Sigortalıyı sistemde tutmak için primde elimizden geleni yapıyoruz"" dedi.",2022-10-24,BloombergHT
Riskli tahvil ihraçlarında tarihi düşüş,"Yükselen faizler ve resesyon beklentileriyle, yüksek riskli tahvil ihraçları geçen yıla göre yüzde 73 geriledi.",2022-10-24,BloombergHT
İngiltere'nin yeni başbakanı Sunak,"İngiltere'de Penny Mordaunt, Rishi Sunak'a desteğini açıklayarak yarıştan çekildi. Böylelikle Rishi Sunak'ın İngiltere'nin yeni başbakanı olması garantilendi.",2022-10-24,BloombergHT
JPMorgan YKB Pinto: Enflasyonu yenmek için resesyon göze alınmalı,JPMorgan Yönetim Kurulu Başkanı Daniel Pinto Arjantin'de büyüdüğü dönemleri örnek göstererek enflasyonu kontrol altına almak için biraz daha derin bir resesyonun ödenebilecek bir bedel olduğunu söyledi.,2022-10-24,BloombergHT
Spot piyasada elektrik fiyatları (24.10.2022),"Spot piyasada bir megavatsaat elektriğin fiyatı yarın için en yüksek 4 bin 800 lira, en düşük 550 lira olarak belirlendi.",2022-10-24,BloombergHT
"Hazine'nin 10 yıllık tahvil ihalesinde faiz yüzde 10,76","Hazine ve Maliye Bakanlığı'nın 10 yıllık tahvil ihalesinde bileşik faiz yüzde 10,76 olarak kaydedildi.",2022-10-24,BloombergHT
İran: ABD nükleer konusunda ikiyüzlü,"İran Dışişleri Bakanlığı Sözcüsü Nasır Kenani, ABD'den yapılan ""nükleer müzakerelerin durduğu"" yönündeki açıklamaları ikiyüzlülük olarak niteledi.",2022-10-24,BloombergHT
Çin'in en zenginlerine 'Kongre' darbesi,"Çin'in önde gelen iş adamlarının serveti Devlet Başkanı Şinping'in ""merkezi rolünün"" teyit edildiği Kongre sonrası piyasalarda yaşanan satışla birlikte 9 milyar doların üzerinde eridi.",2022-10-24,BloombergHT
İklim hedeflerine en çok hangi ülkeler yaklaştı?,"İklim şeffaflığı 2022 raporuna göre G20 ülkeleri arasından, küresel sıcaklık artışının 1,5 derece ile sınırlandırılması hedefine uyumlu salınımlara sahip tek ülke Hindistan oldu. İşte ülkelerin iklimle mücadele performansı...",2022-10-24,BloombergHT
AB'den akıllı telefonlara tek tip şarj şartı,"Avrupa Birliği (AB) üyesi ülkeler, 2024 yılında satılan bütün akıllı telefon, tablet ve kamera gibi elektronik cihazlarda USB-C şarj girişi kullanılmasını zorunlu hale getirecek yasal düzenlemeye son onayı verdi. Düzenleme, 2026 yılında dizüstü bilgisayarları da kapsayacak biçimde genişleyecek.",2022-10-24,BloombergHT
Küresel dijital sigorta pazarı 4 yılda 186 milyar doları aşacak,Bloomberg HT’de yayınlanan Global Industry Analysts’in küresel dijital sigortacılık pazarı raporuna göre küresel dijital sigortacılık pazarı 2027'ye kadar 186.4 milyar dolara ulaşacak.,2022-10-24,BloombergHT
UBS araştırması: Ultra zenginlerin yarısına yakınının miras planı yok,İsviçre bankası UBS'nin raporuna göre ultra zenginlerin yarısına yakınının servetlerini bir sonraki nesile nasıl aktaracağına dair net bir planı yok. Bu oran önümüzdeki 20 yılda sadece ABD'de 40 trilyon dolara yakın bir rakama karşılık geliyor.,2022-10-24,BloombergHT
Türkiye'deki Rus süperyatları Washington'ı endişelendiriyor,"Rus süperyatlarının Türkiye'de güvenli sığınak bulması, Batı'nın yaptırımlarını baltalaması açısından Washington'da endişeleri artırıyor.",2022-10-24,BloombergHT
Türkiye'nin ihracat ikliminde 'kış' sinyalleri,Türkiye'nin en büyük ihracat pazarı olan Avrupa'dan Ekim ayına ilişkin gelen öncü imalat göstergeler ekonomik aktivite açısından olumsuz sinyaller verdi. Türkiye'nin en büyük ihracat pazarı Almanya'da imalat göstergesi salgın döneminden bu yana en düşük seviyeye geriledi.,2022-10-24,BloombergHT
Finansal hizmetler güven endeksi Ekim'de geriledi,"Finansal hizmetler güven endeksi, Ekim ayında 2,5 puan azalarak 164,3 seviyesine geriledi.",2022-10-24,BloombergHT
Euro Bölgesi ekonomisinde alarm zilleri,Satın Alma Yöneticileri Endeksi'ne (PMI) göre Euro Bölgesi'nde hizmet ve imalat endeksleri Ekim ayında düşüşünü sürdürdü. Euro Bölgesi'nin en büyük 2 ekonomisinde de kötüleşme devam etti.,2022-10-24,BloombergHT
Bitcoin'in altınla korelasyonu yükseliyor,"Bank of America, daha önce Bitcoin'i riskli varlık olarak gören yatırımcıların tekrar güvenli liman olarak değerlendirmeye başladığını belirtti. Kripto paranın altınla 40 günlük korelasyonu 0,50 seviyesine çıktı.",2022-10-24,BloombergHT
Türkiye Sigorta’dan riskli hastalıklara güvence,"Türkiye Sigorta, acente satış kanalına özel olarak hazırlanan 'Genişletilmiş Riskli Hastalıklar Sigortası' ile kanserden kalp krizine, organ naklinden böbrek yetmezliğine kadar bir dizi hastalığı güvence altına almaya başladı.",2022-10-24,BloombergHT
Altında güçlü dolar baskısı,Altın ABD dolarının güçlü kalmaya devam etmesiyle yatay seyretti.,2022-10-24,BloombergHT
"Bakan Nebati, tüm mali süreçleri elektronik ortama taşıyacaklarını açıkladı","Hazine ve Maliye Bakanı Nureddin Nebati, kamu maliyesinde gerçekleştirdikleri teknoloji reformuyla yeni bir dönem başlattıklarını belirterek, ""Geliştirdiğimiz yerli ve milli yazılım teknolojisiyle bütçenin oluşturulmasından kesin hesabın çıkarılmasına kadar tüm mali süreçleri elektronik ortama taşıyoruz."" ifadesini kullandı.",2022-10-24,BloombergHT
Şekerbank'ta munzam sandık yine hisse aldı,"Şekerbank Munzam Sandığı, 21 Ekim tarihinde 1,93 TL fiyatla 3 milyon adet Şekerbank hissesi aldığını duyurdu.",2022-10-24,BloombergHT
Serbest piyasada döviz açılış fiyatları (24.10.2022),"İstanbul serbest piyasada dolar 18,5940 liradan, euro 18,3020 liradan haftaya başladı.",2022-10-24,BloombergHT
Philips'te büyük çaplı işten çıkarma planı,"Hollanda merkezli elektronik şirketi Philips, maliyetlerin azaltılması için 4 bin pozisyonun kapatılacağını açıkladı.",2022-10-24,BloombergHT
"Tesla, Çin'de fiyatlarını düşürdü","Tesla, Çin'de 2 araba modelinin satış fiyatlarını yüzde 9'a varan oranlara kadar düşürdü.",2022-10-24,BloombergHT
Çin Merkez Bankası Başkanı Gang'in görevinden ayrılması bekleniyor,Konuya yakın kaynaklardan edinilen bilgiye Çin Merkez Bankası Başkanı Yi Gang'ın Komünist Parti Merkez Komitesi'nden çıkarıldığını ve emeklilik yaşının gelmesiyle 2023 yılının ilk çeyreğinde görevinden ayrılması bekleniyor.,2022-10-24,BloombergHT
Petrolde yeni hafta daralma endişeleriyle başladı,Çin'den gelen makro ekonomik verilerin karışık sinyaller vermesi petrol piyasalarının yeni haftaya düşüşle girmesine yol açtı.,2022-10-24,BloombergHT
"Moody's, İngiltere'nin kredi notu görünümünü düşürdü","Uluslararası kredi derecelendirme kuruluşu Moody's, İngiltere'nin kredi notu görünümünü siyasi ve ekonomik riskler nedeniyle aşağı yönlü revize etti.",2022-10-24,BloombergHT
"Fed/Evans: Politika faizini yüzde 4,5'in biraz üzerine çıkarmalı ve orada tutmalıyız","Chicago Fed Başkanı Charles Evans, Fed'in politika faizini gelecek yılın başlarında yüzde 4,5'in biraz üzerine çıkarması ve sonrasında büyüyemeyi yeniden güçlendirmek ve enflasyonu aşağı getirmek için faizi bir süre için bu seviyede tutması gerektiği görüşünü tekrarladı. ",2022-10-24,BloombergHT
Çin'de yeni politbüro Asya piyasalarını salladı,Asya-Pasifik'teki hisseler yeni haftaya Wall Street Journal'ın bazı Fed yetkililerinin politikayı çok fazla sıkılaştırma konusunda endişeli olduğunu bildirmesinin üzerine karıştı.,2022-10-24,BloombergHT
Çin'de üçüncü çeyrek büyümesi beklentileri aştı,"Çin ekonomisi, yılın üçüncü çeyreğinde yüzde 3,9 büyüme performansı kaydetti. Ekonomistlerin beklentisi yüzde 3,4 büyüme yönündeydi.",2022-10-24,BloombergHT
Ekonomi ve siyaset gündemi - 24 Ekim 2022,Ekonomi ve siyaset gündeminde öne çıkanlar...,2022-10-24,BloombergHT
Resmi Gazete'de bugün (24.10.2022),"Resmi Gazete'de yayımlanan yönetmelik, genelge ve tebliğler...",2022-10-24,BloombergHT
Marmarabirlik 2022-23 ürün alım fiyatlarını açıkladı,"Marmara Zeytin Tarım Satış Kooperatifler Birliği (Marmarabirlik), 2022-2023 iş yılı kampanyasında, ürün alımında tavan fiyat 46, taban fiyat 18, yağlık zeytin fiyatı da 16 lira olarak belirlendi",2022-10-23,BloombergHT
"""Diyarbakır yeniden üretim merkezi olma yolunda""","Cumhurbaşkanı Erdoğan Diyarbakır'da gerçekleştirilen toplu açılış töreninde ""Diyarbakır yeniden ülkemizin en önemli sanayi ve üretim merkezi olma yolunda hızlı adımlarla ilerliyor"" açıklamasında bulundu.",2022-10-23,BloombergHT
Spot piyasada elektrik fiyatları (23.10.2022),"Spot piyasada bir megavatsaat elektriğin fiyatı yarın için en yüksek 4 bin 800 lira, en düşük 1501 lira olarak belirlendi.",2022-10-23,BloombergHT
Çin yönetiminde piyasaları ilgilendiren iki kritik değişiklik,ÇKP’nin beş yılda bir düzenlediği kongre sona erdi. Toplantıyla birlikte partinin kritik karar alma organlarına önemli atamalar gerçekleşti. Dünyanın ikinci büyük ekonomisine yön veren iki kritik pozisyondaki değişiklikler ise büyük önem taşıyor.,2022-10-23,BloombergHT
Rishi Sunak: İngiltere Başbakanlığı için adayım,Eski İngiltere Maliye Bakanı Rishi Sunak Twitter'dan Muhafazakar Parti liderliği ve başbakanlık için aday olduğunu duyurdu.,2022-10-23,BloombergHT
Resmi Gazete'de bugün (23.10.2022),"Resmi Gazete'de yayımlanan yönetmelik, genelge ve tebliğler...",2022-10-23,BloombergHT
Bakan Nebati'den Hazine Faiz Destekli Kredi açıklaması,"Hazine ve Maliye Bakanı Nureddin Nebati, Twitter'dan yaptığı açıklamada esnaf ve sanatkarların finansmanına yönelik 100 milyar TL tutarındaki Hazine Faiz Destekli Kredi Paketi'nin yürürlüğe girdiğini duyurdu.",2022-10-23,BloombergHT
Resmi Gazete'de bugün (22.10.2022),"Resmi Gazete'de yayımlanan yönetmelik, genelge ve tebliğler...",2022-10-23,BloombergHT
Çin'de Şi Cinping üçüncü kez ÇKP Genel Sekreteri seçildi,"Çin Halk Cumhuriyeti'nin 10 yıldır liderliğini yürüten Şi Cinping, partisinin Merkez Komite üyeleri tarafından bir kez daha Komünist Parti Genel Sekreteri seçildi. Böylelikle Cinping, Mao'dan sonra üçüncü dönem parti liderliği yürüten ilk isim oldu.",2022-10-23,BloombergHT
Ekonomi ve siyaset gündemi - 23 Ekim 2022,Ekonomi ve siyaset gündeminde öne çıkanlar...,2022-10-23,BloombergHT
Cumhurbaşkanı Erdoğan: Faiz tek haneli rakama inecek,"Cumhurbaşkanı Recep Tayyip Erdoğan Malatya'da gerçekleştirilen toplu açılış töreninde faiz oranlarını tek haneye indireceklerini söyleyerek, ""Faiz zulmünden yatırımcılarımızı, vatandaşımızı kurtaracağız"" dedi.",2022-10-22,BloombergHT
